Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1975","1975","t","10400","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1976","1976","t","10400","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1977","1977","t","10800","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1978","1978","t","11200","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1979","1979","t","12000","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1980","1980","t","12000","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1981","1981","t","12400","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1982","1982","t","12400","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1983","1983","t","12560","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1984","1984","t","12800","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1985","1985","t","12960","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1986","1986","t","13120","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1987","1987","t","12960","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1988","1988","t","12800","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1989","1989","t","12560","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1990","1990","t","12400","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1991","1991","t","12160","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1992","1992","t","12000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1993","1993","t","11840","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1994","1994","t","11600","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1995","1995","t","12320","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1996","1996","t","13040","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1997","1997","t","14000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1998","1998","t","15040","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","1999","1999","t","14000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2000","2000","t","13200","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2001","2001","t","13120","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2002","2002","t","24000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2003","2003","t","28400","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2004","2004","t","30800","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2005","2005","t","32320","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2006","2006","t","24400","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2007","2007","t","17600","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2008","2008","t","20800","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2009","2009","t","20000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2010","2010","t","28000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2011","2011","t","25600","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2012","2012","t","24800","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2013","2013","t","26400","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2014","2014","t","24809.32","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2015","2015","t","24558.74","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2016","2016","t","24297.68","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2017","2017","t","27637.84","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2018","2018","t","29315.76","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2019","2019","t","27680.53","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2020","2020","t","27284.37","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2021","2021","t","28383","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2022","2022","t","28111.17","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2023","2023","t","28399.8","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2024","2024","t","28688.92","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1961","1961","t","350000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1962","1962","t","350000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1963","1963","t","400000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1964","1964","t","400000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1965","1965","t","450000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1966","1966","t","500000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1967","1967","t","550000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1968","1968","t","583000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1969","1969","t","583000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1970","1970","t","500000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1971","1971","t","480000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1972","1972","t","515000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1973","1973","t","560000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1974","1974","t","580000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1975","1975","t","584000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1976","1976","t","600000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1977","1977","t","522500","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1978","1978","t","532500","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1979","1979","t","544000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1980","1980","t","556000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1981","1981","t","556000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1982","1982","t","556000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1983","1983","t","600000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1984","1984","t","600000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1985","1985","t","500000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1986","1986","t","300000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1987","1987","t","360000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1988","1988","t","360000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1989","1989","t","360000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1990","1990","t","560000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1991","1991","t","600000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1992","1992","t","640000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1993","1993","t","765000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1994","1994","t","945000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1995","1995","t","1100000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1996","1996","t","1260000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1997","1997","t","1380000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1998","1998","t","1430000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","1999","1999","t","1650000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2000","2000","t","1320000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2001","2001","t","800000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2002","2002","t","1600000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2003","2003","t","1480000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2004","2004","t","1508500","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2005","2005","t","1458000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2006","2006","t","1374800","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2007","2007","t","1434000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2008","2008","t","1390800","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2009","2009","t","1413000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2010","2010","t","1401000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2011","2011","t","1403000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2012","2012","t","1507700","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2013","2013","t","1495600","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2014","2014","t","2100702.35","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2015","2015","t","1855052.78","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2016","2016","t","1848155.64","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2017","2017","t","1765609.07","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2018","2018","t","1828222.9","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2019","2019","t","1836154.99","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2020","2020","t","1868866.61","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2021","2021","t","1841535.8","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2022","2022","t","1876786.33","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2023","2023","t","1902352.02","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2024","2024","t","1928135.81","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1961","1961","t","2279000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1962","1962","t","2279000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1963","1963","t","1947000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1964","1964","t","2230000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1965","1965","t","2282000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1966","1966","t","2033000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1967","1967","t","2280000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1968","1968","t","2354000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1969","1969","t","2454000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1970","1970","t","2081000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1971","1971","t","1915000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1972","1972","t","2450000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1973","1973","t","2700000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1974","1974","t","2750000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1975","1975","t","2850000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1976","1976","t","2936000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1977","1977","t","2652000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1978","1978","t","2813000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1979","1979","t","2663000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1980","1980","t","2550000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1981","1981","t","2470000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1982","1982","t","2391000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1983","1983","t","2306000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1984","1984","t","2194000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1985","1985","t","2081000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1986","1986","t","1925000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1987","1987","t","2300000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1988","1988","t","1900000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1989","1989","t","1800000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1990","1990","t","1650000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1991","1991","t","1726000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1992","1992","t","1650000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1993","1993","t","1940000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1994","1994","t","2050000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1995","1995","t","2100000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1996","1996","t","2300000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1997","1997","t","2711000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1998","1998","t","2834000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1999","1999","t","2499000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2000","2000","t","1469000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2001","2001","t","1597000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2002","2002","t","2686000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2003","2003","t","3480000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2004","2004","t","2390000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2005","2005","t","4266000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2006","2006","t","3363000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2007","2007","t","4484000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2008","2008","t","2623000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2009","2009","t","5064000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2010","2010","t","4532000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2011","2011","t","3388000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2012","2012","t","5050000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2013","2013","t","5169235","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2014","2014","t","5370259","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2015","2015","t","4673040","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2016","2016","t","4555110","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2017","2017","t","4280776","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2018","2018","t","3613300","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2019","2019","t","4890000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2020","2020","t","5185000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2021","2021","t","4017657","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2022","2022","t","3802895","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2023","2023","t","4350662","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2024","2024","t","5200000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","21121","Meat of chickens, fresh or chilled","1961","1961","t","1530","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","21121","Meat of chickens, fresh or chilled","1962","1962","t","1580","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","21121","Meat of chickens, fresh or chilled","1963","1963","t","1700","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","21121","Meat of chickens, fresh or chilled","1964","1964","t","1900","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","21121","Meat of chickens, fresh or chilled","1965","1965","t","2385","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","21121","Meat of chickens, fresh or chilled","1966","1966","t","2900","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","21121","Meat of chickens, fresh or chilled","1967","1967","t","3000","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","21121","Meat of chickens, fresh or chilled","1968","1968","t","3200","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","21121","Meat of chickens, fresh or chilled","1969","1969","t","3400","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","21121","Meat of chickens, fresh or chilled","1970","1970","t","3400","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","21121","Meat of chickens, fresh or chilled","1971","1971","t","3800","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","21121","Meat of chickens, fresh or chilled","1972","1972","t","3900","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","21121","Meat of chickens, fresh or chilled","1973","1973","t","4300","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","21121","Meat of chickens, fresh or chilled","1974","1974","t","4750","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","21121","Meat of chickens, fresh or chilled","1975","1975","t","5300","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","21121","Meat of chickens, fresh or chilled","1976","1976","t","5900","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","21121","Meat of chickens, fresh or chilled","1977","1977","t","6300","E","Estimated value",""
